Crop,Variety, Stems ,Period
Roses,Sweet Unique,6851,22/02/2023
Roses,Topsun,4302,22/02/2023
Roses,Tropical Amazon,1282,22/02/2023
Roses,Wild Calypso,5138,22/02/2023
Hypericum,Green Revival,11640,23/02/2023
Hypericum,Magical Triumph,128690,23/02/2023
Hypericum,Royal Princess,5000,23/02/2023
Roses,Athena,8252,23/02/2023
Roses,Comanche,10524,23/02/2023
Roses,Flambo,2862,23/02/2023
Roses,Fuchsiana,6035,23/02/2023
Roses,Furiosa,6430,23/02/2023
Roses,H3O,6520,23/02/2023
Roses,Inka,950,23/02/2023
Roses,Madam Cerise,880,23/02/2023
Roses,Ranuncula,3300,23/02/2023
Roses,Red Calypso,4035,23/02/2023
Roses,Sonrisa,10750,23/02/2023
Roses,Sweet Unique,7304,23/02/2023
Roses,Topsun,4247,23/02/2023
Roses,Tropical Amazon,1767,23/02/2023
Roses,Wild Calypso,3720,23/02/2023
Hypericum,Green Revival,8210,24/02/2023
Hypericum,Magical Triumph,26370,24/02/2023
Hypericum,Royal Princess,2000,24/02/2023
Hypericum,Snow Prince,600,24/02/2023
Roses,Athena,12295,24/02/2023
Roses,Comanche,10086,24/02/2023
Roses,Flambo,3838,24/02/2023
Roses,Fuchsiana,4084,24/02/2023
Roses,Furiosa,10535,24/02/2023
Roses,H3O,4314,24/02/2023
Roses,Inka,11848,24/02/2023
Roses,Madam Cerise,1300,24/02/2023
Roses,Red Calypso,6957,24/02/2023
Roses,Sonrisa,13293,24/02/2023
Roses,Sweet Unique,4321,24/02/2023
Roses,Topsun,7497,24/02/2023
Roses,Tropical Amazon,6696,24/02/2023
Roses,Wild Calypso,6075,24/02/2023
Hypericum,Green Revival,6200,25/02/2023
Hypericum,Magical Seasons,200,25/02/2023
Hypericum,Magical Triumph,39270,25/02/2023
Hypericum,Royal Princess,950,25/02/2023
Hypericum,Snow Prince,300,25/02/2023
Roses,Athena,5755,25/02/2023
Roses,Comanche,10060,25/02/2023
Roses,Flambo,635,25/02/2023
Roses,Fuchsiana,7050,25/02/2023
Roses,Furiosa,11902,25/02/2023
Roses,H3O,10540,25/02/2023
Roses,Inka,6572,25/02/2023
Roses,Madam Cerise,975,25/02/2023
Roses,Red Calypso,4440,25/02/2023
Roses,Sonrisa,15062,25/02/2023
Roses,Sweet Unique,15597,25/02/2023
Roses,Topsun,6010,25/02/2023
Roses,Tropical Amazon,4755,25/02/2023
Roses,Wild Calypso,4440,25/02/2023
Hypericum,Green Revival,5000,26/02/2023
Hypericum,Magical Triumph,17810,26/02/2023
Hypericum,Royal Princess,2250,26/02/2023
Hypericum,Snow Prince,300,26/02/2023
Roses,Athena,7453,26/02/2023
Roses,Comanche,6362,26/02/2023
Roses,Flambo,2343,26/02/2023
Roses,Fuchsiana,2426,26/02/2023
Roses,Furiosa,14757,26/02/2023
Roses,H3O,5479,26/02/2023
Roses,Inka,8716,26/02/2023
Roses,Ranuncula,6900,26/02/2023
Roses,Red Calypso,5376,26/02/2023
Roses,Sonrisa,15404,26/02/2023
Roses,Sweet Unique,8946,26/02/2023
Roses,Topsun,2742,26/02/2023
Roses,Tropical Amazon,3184,26/02/2023
Roses,Wild Calypso,3240,26/02/2023
Hypericum,Green Revival,6120,27/02/2023
Hypericum,Magical Triumph,45440,27/02/2023
Hypericum,Royal Princess,1500,27/02/2023
Hypericum,Snow Prince,300,27/02/2023
